CONAME,GVKEY
A & E PLASTIK PAK INC,1000
A & M FOOD SERVICES INC,1001
AAI CORP,1002
A.A. IMPORTING CO INC,1003
AAR CORP,1004
A.B.A. INDUSTRIES INC,1005
ABC INDS INC,1006
ABKCO INDUSTRIES INC,1007
ABM COMPUTER SYSTEMS INC,1008
ABS INDUSTRIES INC,1009
ACF INDUSTRIES HOLDING CORP,1010
ACS ENTERPRISES INC,1011
ACS INDUSTRIES INC,1012
ADC TELECOMMUNICATIONS INC,1013
ADDSCO INDUSTRIES INC,1014
ADI ELECTRONICS INC,1015
AEC INC,1016
AEL INDUSTRIES  -CL A,1017
AES TECHNOLOGY SYSTEMS INC,1018
AFA PROTECTIVE SYSTEMS INC,1019
AFG INDUSTRIES INC,1020
AFP IMAGING CORP,1021
AGM INDUSTRIES INC,1022
AGS COMPUTERS INC,1023
A I A INDUSTRIES INC,1024
A I C INTL INC,1025
AID INC-DEL CL A,1026
A I M COS,1027
AIM TELEPHONES INC,1028
A.I.N. LEASING CORP,1029
A I T S INC,1030
A J INDS INC,1031
AKF FOODS INC,1032
A L D INC,1033
ALPHARMA INC  -CL A,1034
UNITED DOMINION INDUSTRIES,1036
AM COMMUNICATIONS INC,1037
AMC ENTERTAINMENT INC -OLD,1038
AMC INVESTORS INC,1039
AMF INC,1040
AMI INDUSTRIES INC,1041
AMI SYSTEMS INC,1042
MULTIGRAPHICS INC,1043
AMK CORP,1044
AMR CORP/DE,1045
AMS/REALSTAR INC,1046
ANEFCO INC,1047
ANR PIPELINE CO,1048
APF ELECTRONICS,1049
CECO ENVIRONMENTAL CORP,1050
API INSTRUMENTS CO,1051
API TRUST,1052
AFI CORP,1053
ASK GROUP INC,1054
AST RESEARCH INC,1055
AEROFLEX INC,1056
ABEX CORP,1057
APL CORP,1058
A P S INC,1059
ARI INDUSTRIES INC,1061
ASA LTD,1062
ASI,1063
ASI COMMUNICATIONS INC,1064
AT&E CORP,1065
ATE ENTERPRISES INC,1066
ATI INC,1067
A T INDUSTRIES INC,1068
ATV SYSTEMS INC,1069
AVC CORP,1070
A V ELECTRONICS INC,1071
AVX CORP,1072
AW COMPUTER SYSTEMS  -CL A,1073
AZL RESOURCES INC,1074
PINNACLE WEST CAPITAL CORP,1075
AARON RENTS INC,1076
AARONSON BROTHERS STORES CP,1077
ABBOTT LABORATORIES,1078
ARP CORP,1079
ABERDEEN PETROLEUM CORP-CL A,1080
ABITIBI CONSOLIDATED INC,1081
SERVIDYNE INC,1082
ACA JOE INC,1083
WORLDS.COM INC,1084
AT&T TECHNOLOGIES INC,1085
AMETECH INC,1086
ACADIA PETROLEUM CORP,1087
ACAPULCO RESTAURANTS,1088
ACCELERATORS INC,1089
ACCESS CORP,1090
ACCO WORLD CORP,1091
ACCU TEST SYSTEMS INC,1092
ACCURAY CORP,1093
ACETO CORP,1094
ACKERLEY GROUP INC,1095
ACMAT CORP  -CL A,1097
ACME-CLEVELAND CORP,1098
ACME ELECTRIC CORP,1099
ACME GENERAL CORP,1100
ACME-HAMILTON MFG CORP,1101
ACME INDS INC,1102
ACME PRECISION PRODUCTS INC,1103
ACME UNITED CORP,1104
ACRO ENERGY CORP,1106
ACE HARDWARE CORP,1107
ACTION INDUSTRIES INC,1108
ACTION PRODUCTS INTL INC,1109
ACTIVISION INC,1111
ACTMEDIA INC,1112
ACTON CORP  -OLD,1113
ACUSHNET CO,1114
ADAC LABORATORIES,1115
ADACORP INC,1116
RELM WIRELESS CORP,1117
ADAMS DRUG INC,1118
ADAMS EXPRESS,1119
ADAMS-MILLIS CORP,1120
ADAMS RESOURCES & ENERGY INC,1121
ADAMS RUSSELL,1122
ADCOR ELECTRONICS INC,1123
